DATE,CORESTICKM159SFRBATL
1971-09-03,4.889497260700001
1971-09-10,4.833208976666667
1971-09-17,4.776920692633333
1971-09-24,4.7206324086
1971-10-01,4.662843091387097
1971-10-08,4.596047575096774
1971-10-15,4.529252058806452
1971-10-22,4.462456542516129
1971-10-29,4.395661026225807
1971-11-05,4.306006144
1971-11-12,4.2072075154
1971-11-19,4.1084088868
1971-11-26,4.0096102582
1971-12-03,3.9264543257741935
1971-12-10,3.8641553215806455
1971-12-17,3.801856317387097
1971-12-24,3.7395573131935484
1971-12-31,3.677258309
1972-01-07,3.688779441903226
1972-01-14,3.7003005748064517
1972-01-21,3.7118217077096776
1972-01-28,3.723342840612903
1972-02-04,3.743897365275862
1972-02-11,3.7712269337586206
1972-02-18,3.798556502241379
1972-02-25,3.8258860707241378
1972-03-03,3.8624461882258063
